iter	MultiClass	Accuracy
0	0.6692404764	0.6772440393
1	0.6462534402	0.7294880785
2	0.6261968929	0.7442145863
3	0.6084784276	0.748772791
4	0.5934371677	0.7798036466
5	0.5796133184	0.7878681627
6	0.5668219776	0.7887447405
7	0.5554300645	0.7917251052
8	0.5447762841	0.7997896213
9	0.5359727594	0.8073281907
10	0.527377679	0.8178471248
11	0.5193499323	0.8238078541
12	0.5115577852	0.8271388499
13	0.5046300457	0.8281907433
14	0.4976153703	0.832398317
15	0.4911798268	0.8355539972
16	0.4849873609	0.8366058906
17	0.4794692014	0.8374824684
18	0.4745322218	0.8288920056
19	0.4690086868	0.8387096774
20	0.464132816	0.8429172511
21	0.4595008593	0.8446704067
22	0.4551369944	0.84414446
23	0.4511138673	0.8473001403
24	0.4473240365	0.8520336606
25	0.4437962142	0.851858345
26	0.4403076774	0.8527349229
27	0.4361486267	0.8523842917
28	0.4331068252	0.8523842917
29	0.4296449488	0.8527349229
30	0.4262222694	0.8501051893
31	0.4225970049	0.8527349229
32	0.4201295468	0.8508064516
33	0.4169787415	0.8576437588
34	0.4139341447	0.8588709677
35	0.4105958461	0.8585203366
36	0.4081051362	0.8599228612
37	0.4051954502	0.8618513324
38	0.4031542033	0.862026648
39	0.4004919774	0.8613253857
40	0.3985929708	0.8618513324
41	0.3964334567	0.8613253857
42	0.3938654943	0.8627279102
43	0.3915436263	0.8622019635
44	0.3896990704	0.8630785414
45	0.3879129536	0.8639551192
46	0.3865052725	0.8643057504
47	0.3842032697	0.8662342216
48	0.3824432447	0.8664095372
49	0.3808994373	0.8650070126
50	0.3792039825	0.8648316971
51	0.3774291862	0.8664095372
52	0.3759849308	0.8674614306
53	0.3745826397	0.8678120617
54	0.3726973286	0.867286115
55	0.3708886457	0.8683380084
56	0.3696585059	0.8665848527
57	0.367941265	0.8671107994
58	0.3668013784	0.8671107994
59	0.3651692892	0.867286115
60	0.3637247307	0.869740533
61	0.3626062838	0.8707924264
62	0.3607058358	0.8713183731
63	0.3591569873	0.8720196353
64	0.3580899117	0.8721949509
65	0.3568196248	0.8718443198
66	0.3556038218	0.8730715288
67	0.3543632827	0.8734221599
68	0.3531851418	0.8730715288
69	0.352061901	0.872545582
70	0.351125698	0.8732468443
71	0.3501473937	0.8732468443
72	0.3491001923	0.8730715288
73	0.3478612119	0.8732468443
74	0.3469881565	0.873772791
75	0.3460765941	0.8744740533
76	0.3451215747	0.8739481066
77	0.3445315174	0.8744740533
78	0.3435911165	0.8744740533
79	0.342671254	0.8755259467
80	0.3420344039	0.8755259467
81	0.3412271081	0.876227209
82	0.3398775302	0.8758765778
83	0.339060668	0.8757012623
84	0.3379469075	0.8758765778
85	0.3368552575	0.8767531557
86	0.335840162	0.8772791024
87	0.3349731966	0.8778050491
88	0.3341049923	0.877454418
89	0.3330525514	0.8781556802
90	0.3319766771	0.8783309958
91	0.3312156203	0.8785063114
92	0.330478031	0.8783309958
93	0.3294393009	0.8776297335
94	0.3288457575	0.8792075736
95	0.3282368194	0.8790322581
96	0.3274944779	0.8781556802
97	0.3267838613	0.8783309958
98	0.3260051591	0.8786816269
99	0.3253127804	0.8790322581
100	0.3245258418	0.8788569425
101	0.3237205219	0.8783309958
102	0.3230121316	0.8779803647
103	0.3224435871	0.8778050491
104	0.3212180204	0.8776297335
105	0.3205587364	0.8778050491
106	0.3196451296	0.8786816269
107	0.3189035558	0.8785063114
108	0.3181997546	0.8792075736
109	0.3172820213	0.8792075736
110	0.3167798809	0.8788569425
111	0.3161063382	0.8795582048
112	0.3155069099	0.8804347826
113	0.3148057542	0.8804347826
114	0.3140749099	0.8807854137
115	0.3134132854	0.8811360449
116	0.3128830374	0.8813113604
117	0.3121722225	0.8823632539
118	0.3115811322	0.8823632539
119	0.3109943316	0.8811360449
120	0.3104762885	0.8818373072
121	0.3099158942	0.8813113604
122	0.309373049	0.8825385694
123	0.3085407477	0.8823632539
124	0.3080941482	0.8832398317
125	0.3075779137	0.8830645161
126	0.3070704747	0.883941094
127	0.3063662847	0.8844670407
128	0.3058819402	0.8844670407
129	0.305226673	0.8846423562
130	0.3043580925	0.8844670407
131	0.3036943502	0.8844670407
132	0.3032557756	0.8849929874
133	0.3027542304	0.8848176718
134	0.3023262117	0.8855189341
135	0.3016757956	0.8849929874
136	0.3010480075	0.8848176718
137	0.3004781659	0.8849929874
138	0.2999603379	0.8858695652
139	0.2992167868	0.8865708275
140	0.2986599688	0.8862201964
141	0.2981738105	0.8869214586
142	0.2976744252	0.8863955119
143	0.2970759202	0.8867461431
144	0.296511806	0.8872720898
145	0.2959839211	0.8865708275
146	0.2954472967	0.8869214586
147	0.2949487147	0.8869214586
148	0.2945138419	0.8876227209
149	0.2941545893	0.8883239832
150	0.2936465154	0.8881486676
151	0.2932140101	0.887973352
152	0.2928842931	0.8884992987
153	0.2924237065	0.8888499299
154	0.2918443978	0.8888499299
155	0.2913193733	0.8893758766
156	0.2908500966	0.8888499299
157	0.2903706593	0.8897265077
158	0.2898506281	0.8897265077
159	0.2895726674	0.8895511921
160	0.2890393931	0.8902524544
161	0.2886846635	0.8899018233
162	0.2882998388	0.8911290323
163	0.287943315	0.8914796634
164	0.287480512	0.8914796634
165	0.2869204306	0.891654979
166	0.2862466123	0.8920056101
167	0.2859222312	0.8921809257
168	0.2855281264	0.8918302945
169	0.2851447479	0.891654979
170	0.2847309636	0.8918302945
171	0.2841301948	0.8921809257
172	0.2838478405	0.8914796634
173	0.2834343252	0.8921809257
174	0.2830973388	0.8920056101
175	0.2827436909	0.8925315568
176	0.2822344793	0.8928821879
177	0.2819794736	0.8927068724
178	0.2816480381	0.8930575035
179	0.2812213833	0.8923562412
180	0.2809638636	0.8925315568
181	0.280531704	0.8930575035
182	0.2801354568	0.8934081346
183	0.2798386275	0.8935834502
184	0.2794337313	0.8935834502
185	0.27884913	0.8934081346
186	0.2785582492	0.8942847125
187	0.2781253599	0.8939340813
188	0.2778591134	0.8946353436
189	0.2775787269	0.8942847125
190	0.2772226954	0.8949859748
191	0.2770087762	0.8948106592
192	0.2767589766	0.8946353436
193	0.2763776547	0.8949859748
194	0.2758991058	0.8951612903
195	0.2755579787	0.8942847125
196	0.275241969	0.8944600281
197	0.2748797578	0.8941093969
198	0.2744180739	0.8949859748
199	0.2740821658	0.8951612903
200	0.2736960733	0.8955119215
201	0.273183423	0.8963884993
202	0.2727904596	0.8962131837
203	0.2723195196	0.8960378682
204	0.2718790249	0.896914446
