iter	Passed	Remaining
0	26	26068
1	38	19288
2	51	17095
3	64	16049
4	77	15450
5	90	14963
6	103	14612
7	115	14375
8	128	14158
9	141	13987
10	154	13913
11	167	13798
12	180	13669
13	192	13557
14	206	13537
15	218	13467
16	231	13398
17	244	13324
18	256	13260
19	269	13217
20	282	13170
21	295	13132
22	308	13097
23	322	13121
24	337	13144
25	351	13171
26	366	13208
27	380	13222
28	394	13218
29	409	13230
30	423	13239
31	438	13260
32	455	13358
33	474	13470
34	492	13587
35	509	13641
36	529	13773
37	547	13853
38	565	13927
39	583	13992
40	602	14094
41	621	14181
42	638	14208
43	655	14235
44	671	14251
45	688	14269
46	705	14313
47	720	14285
48	733	14232
49	746	14178
50	758	14118
51	771	14070
52	784	14024
53	797	13975
54	812	13956
55	825	13918
56	839	13887
57	852	13853
58	867	13842
59	881	13809
60	894	13763
61	906	13721
62	920	13691
63	956	13983
64	974	14012
65	990	14018
66	1006	14018
67	1023	14025
68	1039	14028
69	1055	14018
70	1071	14025
71	1085	13997
72	1100	13971
73	1114	13943
74	1129	13925
75	1144	13911
76	1158	13888
77	1172	13860
78	1187	13843
79	1200	13805
80	1213	13772
81	1229	13762
82	1243	13743
83	1257	13713
84	1271	13684
85	1284	13653
86	1297	13618
87	1310	13582
88	1324	13555
89	1337	13523
90	1352	13506
91	1365	13477
92	1379	13453
93	1393	13433
94	1407	13412
95	1422	13396
96	1436	13372
97	1450	13347
98	1462	13312
99	1476	13284
100	1488	13253
101	1501	13218
102	1514	13187
103	1527	13156
104	1539	13124
105	1552	13096
106	1566	13075
107	1579	13044
108	1592	13014
109	1605	12986
110	1617	12954
111	1630	12928
112	1643	12901
113	1656	12871
114	1669	12845
115	1681	12817
116	1694	12791
117	1707	12765
118	1720	12739
119	1733	12713
120	1746	12689
121	1759	12663
122	1772	12636
123	1785	12610
124	1797	12584
125	1810	12559
126	1823	12536
127	1836	12510
128	1849	12487
129	1862	12464
130	1876	12446
131	1897	12477
132	1921	12528
133	1936	12512
134	1949	12492
135	1962	12469
136	1977	12459
137	1994	12458
138	2007	12432
139	2020	12410
140	2033	12389
141	2046	12367
142	2059	12342
143	2072	12318
144	2084	12293
145	2097	12269
146	2110	12246
147	2123	12227
148	2136	12204
149	2149	12180
150	2161	12155
151	2175	12136
152	2188	12114
153	2201	12091
154	2213	12068
155	2226	12045
156	2239	12024
157	2252	12002
158	2265	11982
159	2278	11960
160	2290	11938
161	2303	11917
162	2316	11893
163	2328	11872
164	2341	11851
165	2354	11830
166	2367	11808
167	2380	11788
168	2393	11767
169	2406	11747
170	2419	11728
171	2434	11718
172	2448	11704
173	2461	11684
174	2474	11664
175	2487	11644
176	2499	11624
177	2512	11603
178	2525	11583
179	2539	11567
180	2551	11546
181	2564	11527
182	2577	11508
183	2590	11488
184	2603	11469
185	2616	11448
186	2628	11429
187	2641	11410
188	2654	11391
189	2667	11372
190	2680	11352
191	2695	11345
192	2713	11346
193	2738	11377
194	2752	11363
195	2766	11346
196	2778	11326
197	2791	11307
198	2804	11287
199	2817	11268
200	2829	11249
201	2842	11231
202	2856	11213
203	2868	11193
204	2881	11174
205	2894	11156
206	2907	11138
207	2920	11119
208	2932	11100
209	2957	11126
210	2984	11158
211	2997	11139
212	3010	11121
213	3022	11101
214	3035	11082
215	3048	11063
216	3060	11043
217	3073	11025
218	3086	11005
219	3099	10988
220	3112	10971
221	3124	10951
222	3137	10931
223	3149	10912
224	3163	10897
225	3176	10879
226	3189	10861
227	3202	10842
228	3214	10823
229	3227	10805
230	3240	10787
231	3253	10770
232	3266	10751
233	3280	10739
234	3295	10727
235	3309	10715
236	3323	10699
237	3337	10686
238	3352	10675
239	3367	10662
240	3382	10651
241	3395	10636
242	3408	10619
243	3421	10601
244	3435	10587
245	3451	10580
246	3469	10576
247	3487	10575
248	3504	10571
249	3551	10654
250	3570	10654
